index,topic,label,length,sentiment,content
63,Undefined,0,86,neutral,A photograph shows two children holding a 'F*CK Donald Trump' sign at a Chicago rally.
64,Undefined,0,98,neutral,A study proved e-cigarette use (or vaping) leads to an incurable condition known as 'popcorn lung.
65,Undefined,0,61,negative,A woman in Oklahoma was killed by a pack of small dachshunds.
66,Undefined,0,136,neutral,NAIAD director Dr. Anthony Fauci warned in January 2017 that the Trump administration would face a surprise infectious disease outbreak.
67,Undefined,0,105,negative,An old image of truck driver Reginald Denny advocates that drivers not stop for road-blocking protesters.
68,Undefined,0,96,neutral,An image shows that Democratic interns are much more diverse as a group than Republican interns.
69,Undefined,0,147,negative,Two British teens who killed a child when they were ten years were granted anonymity for life by the courts and released from custody in June 2001.
70,Undefined,0,90,negative,Memorial Day began with a May 1865 ceremony held by former slaves to honor Union war dead.
71,Undefined,0,79,neutral,Editorial by pianist Huntley Brown explains why he won't vote for Barack Obama.
72,Undefined,0,64,negative,Photograph shows a dog injured by fireworks placed in its mouth.
73,Undefined,0,69,neutral,Photograph shows golfers fleeing from the approach of a grizzly bear.
74,Undefined,0,168,positive,Implementation of Dream Act guidelines will grant amnesty to illegal aliens residing in the United States if they agree to enlist in the U.S. military or enter college.
75,Undefined,0,78,neutral,A virus deadly to dogs has been spreading in the canine population of the U.S.
76,Undefined,0,103,negative,Nike pulled a print ad for their Air Dri-Goat shoes because readers found it offensive to the disabled.
77,Undefined,0,117,negative,Donald Trump mentioned 'seven eleven' rather than 'nine eleven' when referring to the September 11 terrorist attacks.
78,Undefined,0,66,neutral,Wal-Mart is trying out products embedded with RFID tracking chips.
79,Undefined,0,70,positive,Barack Obama's net worth increased over $10 million from 2008 to 2012.
80,Undefined,0,66,positive,Star Trek creator Gene Roddenberry survived a plane crash in 1947.
81,Undefined,0,94,positive,An army captain in Iraq describes President Bush's surprise Thanksgiving Day visit to Baghdad.
82,Undefined,0,86,positive,Message lists consequences that will result from passage of the Freedom of Choice Act.
83,Undefined,0,91,neutral,President Bush prayed with an injured Special Forces soldier at Walter Reed Medical Center.
84,Undefined,0,74,neutral,A dying child was made an honorary fireman by the Phoenix Fire Department.
85,Undefined,0,148,negative,Starbucks recalled 'Collapse into Cool' promotional posters due to complaints that they contained imagery reminiscent of the 9/11 terrorist attacks.
86,Undefined,0,47,negative,'Mob Wives' personality Big Ang died of cancer.
87,Undefined,0,86,positive,Letter suggests fixing the U.S. economy by giving workers over age 50 $1 million each.
88,Undefined,0,68,negative,Video shows U.S. Apache helicopter firing at three Iraqi insurgents.
89,Undefined,0,103,positive,Campbell's Soup will donate a can of soup to the hungry for every click received on a special web page.
90,Undefined,0,94,positive,"Mike Pence supported 'gay conversion' therapy, which involves the use of electroshock therapy."
91,Undefined,0,58,neutral,Actor Jon Voight penned an open letter to President Obama.
92,Undefined,0,76,neutral,The first three digits of a bar code indicate a product's country of origin.
93,Undefined,0,88,positive,Account describes Navy SEALs' funereal tribute to Medal of Honor recipient Mike Monsoor.
94,Undefined,0,81,negative,Essay by J.D. Pendry criticizes foreign policy stances of Democratic politicians.
95,Undefined,0,47,neutral,Photograph shows a Jewish baby stoned by Arabs.
96,Undefined,0,87,positive,Actor Robert De Niro blasted Donald Trump in a video meant to encourage people to vote.
97,Undefined,0,85,neutral,Canadian police are ticketing motorists for parking their cars with the windows down.
98,Undefined,0,99,positive,"As part of the 2009 pre-inaugural festivities, Tiger Woods gave a speech in thanks of the military."
99,Undefined,0,58,negative,Greenies brand dental chews pose a general danger to dogs.
100,Undefined,0,143,neutral,Letter from Indiana state representative accuses the Girl Scouts of being a radicalized organization that promotes abortions and homosexuality.
101,Undefined,0,172,positive,A 14 August 1912 article from a New Zealand newspaper contains a brief story about how burning coal might produce future warming by adding carbon dioxide to the atmosphere.
102,Undefined,0,75,neutral,E-mail presents Bill Brown's assessment of Barack Obama's political record.
103,Undefined,0,172,neutral,"Based on information he learned from library books, school drop-out William Kamkwamba built a windmill out of scrap parts and brought electricity to his village in Malawia."
104,Undefined,0,114,neutral,"Trump's Attorney General pick, Jeff Sessions, blasted a federal law protecting disabled children in the classroom."
105,Undefined,0,55,neutral,Item presents information about the 'real' Mitt Romney.
106,Undefined,0,72,neutral,Text reproduces a statement by President Harry Truman about Republicans.
107,Undefined,0,64,neutral,Photographs show a pair of black and white fraternal twin girls.
108,Undefined,0,102,neutral,Iraqi militant web site displays image of action figure toy identified as a captured American soldier.
109,Undefined,0,107,positive,A provision of 'Obamacare' health care legislation creates a 3.8% Medicare tax on real estate transactions.
110,Undefined,0,96,neutral,Eau Claire schools canceled a planned Veterans Day ceremony over concerns about a 21-gun salute.
111,Undefined,0,107,negative,Criminal gangs in Arlington are staging medical emergencies to lure drivers out of their cars and rob them.
112,Undefined,0,99,negative,EverPet brand dog and cat food is made in China and has caused pets to fall ill and die in the U.S.
113,Undefined,0,86,negative,Insect-infested house is destroyed when too many 'bug bombs' set by owner are ignited.
114,Undefined,0,121,negative,Several on-line airline ticket sites are scams used to harvest credit card numbers or cheat consumers out of their money.
115,Undefined,0,54,negative,Photograph shows a large crocodile killed in Zimbabwe.
116,Undefined,0,88,neutral,Time magazine considering designating Osama bin Laden as its 'Man of the Year' for 2001.
117,Undefined,0,65,neutral,Article explains the difference between http and https protocols.
118,Undefined,0,62,negative,Photograph shows two airliners in dangerously close proximity.
119,Undefined,0,78,negative,A boy named Michael Novenche is undergoing chemotherapy to kill a brain tumor.
120,Undefined,0,93,positive,An Internet-circulated list entitled '2005 Darwin Awards' details actual mishaps and demises.
121,Undefined,0,90,negative,H. L. Mencken wrote that eventually 'the White House will be adorned by a downright moron.
122,Undefined,0,82,positive,The Salt Lake Tribune has endorsed Barack Obama in the 2012 presidential election.
123,Undefined,0,87,positive,Messages provide information about contributions to earthquake relief efforts in Haiti.
124,Undefined,0,118,neutral,"A 'cargo container full of young black women' was found in a port in Savannah, Georgia, 'about to be shipped overseas."
125,Undefined,0,84,positive,President Obama launched an 'African Americans for Obama' campaign in February 2012.
126,Undefined,0,102,neutral,Franchised postal center outlets may charge more than official postal service rates for mailing items.
127,Undefined,0,99,neutral,U.S. Interstate highways are numbered according to a pattern based on their direction and location.
128,Undefined,0,124,negative,"Hurricanes with female names cause more damage because people perceive their risk to be lower, leading to less preparedness."
129,Undefined,0,59,neutral,Video clip shows a wrench being duplicated by a 3D printer.
130,Undefined,0,80,negative,Photographs show a 'censored' protest against a planned mosque in New York City.
131,Undefined,0,106,negative,Officer aboard the USS Abraham Lincoln describes difficulties with ship's humanitarian mission in Sumatra.
132,Undefined,0,91,positive,There are more museums in the United States than McDonald's and Starbucks outlets combined.
133,Undefined,0,91,positive,"Prayers are requested for Heather Brown, who remains in a coma after giving birth to a son."
134,Undefined,0,92,positive,E-mail lists valuable technological innovations brought about by African-American inventors.
135,Undefined,0,35,neutral,Embedded ticks can cause paralysis.
136,Undefined,0,158,positive,A Saudi Arabian newspaper ran an article claiming that Jews use the blood of Christians and Muslims in foods created to celebrate the Jewish holiday of Purim.
137,Undefined,0,75,positive,Image shows 'smart dust' miniaturized RFID technology developed by Hitachi.
138,Undefined,0,156,negative,"No Fear, Inc. a popular retailer, was confused with the National Organization for European American Rights (N.O.F.E.A.R.), a white supremacist organization."
139,Undefined,0,127,negative,Women in Afghanistan are subject to severe violations of basic human rights (but signing a petition isn't likely to help them).
140,Undefined,0,90,negative,"The philosopher Socrates said 'when debate is lost, slander becomes the tool of the loser."
141,Undefined,0,89,negative,The Tim Allen show 'Last Man Standing' was cancelled due to the star's political beliefs.
142,Undefined,0,81,neutral,Article provides information about untapped oil reserves in the Bakken formation.
143,Undefined,0,93,neutral,A newly-elected Muslim Congressman took his oath of office on the Quran instead of the Bible.
144,Undefined,0,106,negative,A child dying of cancer wants you to send him cards so he can get into the Guinness World Book of Records.
145,Undefined,0,123,negative,Michelle Obama visited a Saudi national injured in the Boston Marathon bombings but not an American who lost both his legs.
146,Undefined,0,107,neutral,A Texas woman who cast her vote for all Democratic candidates discovered her ballot marked for Bush/Cheney.
147,Undefined,0,69,neutral,The satirical poem The New School Prayer was penned by a schoolchild.
148,Undefined,0,112,positive,A Pepsi distributor stopped donating supplies to the God's Pit Crew relief agency because of the charity's name.
149,Undefined,0,116,positive,The Obama Event Registry allows users celebrating special occasions to solicit campaign donations in place of gifts.
150,Undefined,0,103,neutral,Macy's offers a 'foreigner's discount' every day but a military discount only 'a couple of days a year.
151,Undefined,0,120,positive,Texting 'FOOD' to 877-877 will give you a nearby location where free meals are available for children during the summer.
152,Undefined,0,87,neutral,Photograph of Michael Jackson's face taken during a court trial is real and undoctored.
153,Undefined,0,56,positive,Dairy Queen is hosting 'Free Cone Day' on 20 March 2017.
154,Undefined,0,90,neutral,"Prayers are requested for Preston Loyd, a 4-year-old boy who was run over by a lawn mower."
155,Undefined,0,54,negative,Editorial criticizes Barack Obama's political stances.
156,Undefined,0,79,neutral,Gospel singer Marvin Sapp is linked to the disappearance of Dr. Teleka Patrick.
157,Undefined,0,94,positive,Incentives received by consumers through the 'Cash for Clunkers' program are subject to taxes.
158,Undefined,0,76,negative,Message warns that health care reform will be a 'death warrant' for seniors.
159,Undefined,0,54,neutral,Photographs show a bizarre-looking baby born in Nepal.
160,Undefined,0,94,positive,Accused Fort Hood shooter Major Nidal Hasan was 'an advisor to Obama's Homeland Security team.
161,Undefined,0,74,negative,Improperly stored or discarded 9-volt batteries can touch off house fires.
162,Undefined,0,86,positive,Photographs show a coyote that survived an eight-hour trip wedged behind a car bumper.
163,Undefined,0,164,negative,"For John Kerry's Labor Day 'front porch' stop in Canonsburg, Pennsylvania, neighborhood streets were closed and residents told to take down their Bush/Cheney signs."
164,Undefined,0,59,neutral,Temporary black henna tattoos can cause permanent scarring.
165,Undefined,0,165,neutral,"A couple rents a video camera and VCR and records themselves engaging in sex, then accidentally leaves the tape in the player when they return it to the video store."
166,Undefined,0,101,negative,Oprah Winfrey is sponsoring a 'New Age Christ' course that contradicts the teachings of Christianity.
167,Undefined,0,164,positive,The Orange County chapter of the American Red Cross declined to allow an invited musical troupe to performs songs such as 'God Bless the USA' at an awards luncheon.
168,Undefined,0,110,negative,Rep. Dick Armey offered a humorous quip about President Clinton's troubles during the Monica Lewinsky scandal.
169,Undefined,0,132,negative,Women in a dangerous situation at a bar can order an angel shot to ensure safe passage into an Uber and away from a frightening man.
170,Undefined,0,81,negative,"Prayers are requested for Audri King, a 2-year-old Oklahoma girl battling cancer."
171,Undefined,0,87,negative,A New York high school has forced students to recite the Pledge of Allegiance in Arabic
172,Undefined,0,100,neutral,"Various rumors connected with the shootings at Sandy Hook Elementary School in Newtown, Connecticut."
173,Undefined,0,155,positive,Seventh graders in California are subjected to an intense three-week course in Islam in which they are required to pray to Allah and memorize Koran verses.
174,Undefined,0,119,negative,Journalist Geraldo Rivera commented (regarding the war in Iraq) that 'reporters don't report buildings that don't burn.
175,Undefined,0,118,neutral,Letter to AARP from owners of Miller Farms Equine Transport explains their reasons for not renewing their memberships.
176,Undefined,0,93,positive,"A new study determined that hot dogs contain human DNA, and vegetarian versions contain meat."
177,Undefined,0,79,negative,Photographs show an angry elephant overturning an automobile in a game reserve.
178,Undefined,0,93,negative,A 2-month-old girl was badly burned in the hand by emergency room staff at a Merced hospital.
179,Undefined,0,152,negative,"Administering three simple tests will help diagnose a stroke, and pricking a stroke victim's fingers will prevent further harm from the cerebral attack."
180,Undefined,0,104,neutral,Various states have passed laws requiring that public assistance recipients pass a drug testing program.
181,Undefined,0,69,neutral,E-mail offers sniper-avoidance tips from an experienced 'SWAT sniper.
182,Undefined,0,138,neutral,A photograh showing a body of water with two distinct colors is a permanent location where the Mississippi River meets the Gulf Of Mexico.
183,Undefined,0,78,positive,Outdoor temperature can be determined by counting the chirps made by crickets.
184,Undefined,0,96,neutral,A constitutional law professor quipped on the difference between the Bible and the Constitution.
185,Undefined,0,67,neutral,Pepsi is test marketing a Doritos-flavored version of Mountain Dew.
186,Undefined,0,84,positive,Target has banned use of the phrase 'Merry Christmas' in its stores and advertising.
187,Undefined,0,60,negative,Chicken jerky treats from China are causing illness in pets.
188,Undefined,0,170,negative,"In 1969, comic Red Skelton lamented on his weekly television show that the Pledge of Allegiance might someday be considered a 'prayer' and eliminated from public schools."
189,Undefined,0,106,neutral,Various Internet-circulated items about the 2008 U.S. presidential election were written by Thomas Sowell.
190,Undefined,0,86,negative,"Students in Revere, Massachusetts, were forced to recite an Islamic conversion prayer."
191,Undefined,0,90,neutral,Magazine cover photo shows former Olympian Bruce Jenner transitioning to becoming a woman.
192,Undefined,0,61,positive,A prominent meteor shower will be visible in late April 2013.
193,Undefined,0,104,neutral,Kay Arthur warned a conference that 'God had revealed to her that a literal famine is coming to America.
194,Undefined,0,80,negative,Mr. Rogers' car was returned after the thieves who stole it realized it was his.
195,Undefined,0,56,neutral,Photograph shows a mud puddle in the shape of Australia.
196,Undefined,0,92,negative,"Malls are fining store owners $1,100 for every hour they refuse to open on Thanksgiving Day."
197,Undefined,0,61,neutral,Photographs show an unusually colored buck taken by a hunter.
198,Undefined,0,99,negative,Florida motorists can block the DMV from disclosing their motor vehicle and driver license records.
199,Undefined,0,98,positive,The Best Buy chain is eschewing use of the word 'Christmas' in its 2006 holiday print advertising.
200,Undefined,0,86,negative,President Obama refused to participate in the ALS Association's 'Ice Bucket Challenge.
201,Undefined,0,126,positive,A construction worker survived an accident that poked an 18-inch-long drill bit through one eye and out the side of his skull.
202,Undefined,0,92,neutral,Living turtles and fish are packaged in plastic bags and sold as souvenir keyrings in China.
203,Undefined,0,118,neutral,Account describes a visit by former president George W. Bush and Laura Bush with survivors of the Fort Hood shootings.
204,Undefined,0,73,neutral,The price of generic drugs can vary widely from one pharmacy to the next.
205,Undefined,0,65,neutral,Photographs show a conceptual pen-sized personal computer system.
206,Undefined,0,78,positive,A book titled 'Do You Want to Play with My Balls?' was published for children.
207,Undefined,0,124,neutral,An Indian boy experienced a rare condition in which beetles bred in his body and emerged from his groin as full-grown flies.
208,Undefined,0,131,negative,The father of a 4-year-old girl died after anti-Trump protesters blocked roads and delayed an ambulance from reaching the hospital.
209,Undefined,0,70,neutral,Nylabone brand pet products are toxic and cause dogs to have seizures.
210,Undefined,0,83,neutral,E-mailed list features Dave Barry's '16 Things It Took Me Over 50+ Years to Learn''
211,Undefined,0,75,neutral,There are more trees on Earth than there are stars in the Milky Way galaxy.
212,Undefined,0,73,negative,A Costa Rican artist starved a dog to death as part of a gallery exhibit.
213,Undefined,0,141,positive,"In the late 1800s and early 1900s, Louis Vuitton sponsored 'human zoos' in which black people were put on display like exotic circus animals."
214,Undefined,0,96,neutral,"President B. Lyndon Johnson once said, 'I'll have those niggers voting Democratic for 200 years."
215,Undefined,0,80,negative,"During a campaign rally, Chelsea Clinton stated that marijuana use can be fatal."
216,Undefined,0,116,negative,"On 30 September 2018, the administration of President Donald Trump allowed the Violence Against Women Act to expire."
217,Undefined,0,105,negative,"California legislators have made it illegal for anyone to deny climate change, under threat of jail time."
218,Undefined,0,223,positive,"In the aftermath of two mass shootings, President Donald Trump attacked a political opponent and bragged about crowd sizes during remarks about the incidents, whereas past presidents offered words of comfort and solidarity."
219,Undefined,0,115,neutral,"A December 2015 school shooting in Arapahoe County, Colorado, was circumvented by an armed school resource officer."
220,Undefined,0,119,negative,CFL light bulbs are dangerous compared to conventional incandescent bulbs because they emit higher levels of radiation.
221,Undefined,0,89,neutral,Photographers recently discovered a gigantic human footprint in rural southwestern China.
222,Undefined,0,115,positive,'Clean coal technology' currently makes coal a clean source of energy and helps to reduce greenhouse gas emissions.
223,Undefined,0,70,neutral,The Cicret bracelet and app can project your smartphone onto your arm.
224,Undefined,0,189,neutral,"A screenshot taken from TV coverage of a White House news conference displays a chyron accurately stating that the Biden administration had told pipeline workers, 'You can find another job."
225,Undefined,0,77,neutral,"Martial arts star Jet Li is in frail health, as shown in a recent photograph."
226,Undefined,0,149,negative,"Inmates at Orleans Parish Prison spent several days in flooded cells while awaiting rescue after Hurricane Katrina, and hundreds of them disappeared."
227,Undefined,0,150,negative,The U.S. Department of Energy failed to notify lawmakers and officials in Nevada before shipping one-half metric ton of weapons-grade plutonium there.
228,Undefined,0,77,neutral,FBI director Jim Comey placed a 'Trump/Pence 2016' sign in front of his home.
229,Undefined,0,92,negative,A study showed 69% of all store-bought extra virgin olive oils in the US are 'probably fake.
230,Undefined,0,146,neutral,"During Halloween 2019, an Australian mother and registered nurse offered chickenpox-infected lollipops for sale in an anti-vaccine Facebook group."
231,Undefined,0,82,neutral,"Ann Scott, the wife of Florida's governor, owns a Zika mosquito spraying business."
232,Undefined,0,143,negative,Supermodel Bella Hadid used antisemitic language equivalent to advocating 'throwing Jews into the sea' during a protest for Palestinian rights.
233,Undefined,0,39,negative,A blow to the testicles can kill a man.
234,Undefined,0,137,neutral,"In September 2020, U.S. President Donald Trump said he might sign an executive order barring Joe Biden from ever becoming U.S. president."
235,Undefined,0,71,neutral,Fisherman on Réunion Island employ live dogs as bait for shark-fishing.
236,Undefined,0,115,positive,Inspirational Internet postings recount the high and low points in the life of KFC founder Colonel Harland Sanders.
237,Undefined,0,120,negative,A supporter of U.S. Rep. Alexandria Ocasio-Cortez suggested eating babies to combat climate change at a town hall event.
238,Undefined,0,81,neutral,Joe Biden's son Hunter was dishonorably discharged from the Navy for cocaine use.
239,Undefined,0,118,negative,"Donald Trump raped his former wife and a young woman, and his modeling agency was found to be trafficking young girls."
240,Undefined,0,76,neutral,Iran has offered an $80M bounty for the head of U.S. President Donald Trump.
241,Undefined,0,66,neutral,Caitlyn Jenner will pose nude on the cover of 'Sports Illustrated.
242,Undefined,0,90,positive,"A billboard with a picture of Elon Musk states, 'Defend billionaires. We're just like you."
243,Undefined,0,132,positive,The donations raised during a benefit event for veterans went to Donald J. Trump's personal foundation instead of veteran charities.
244,Undefined,0,93,negative,"All of the drivers arrested in 282 traffic stops in Polk County, Iowa, were African-American."
245,Undefined,0,83,neutral,Glittery phone cases are leaking some type of substance that causes chemical burns.
246,Undefined,0,242,positive,"Before the 2020 U.S. presidential election, the Taliban and the Ku Klux Klan endorsed U.S. President Donald Trump while his Democratic opponent, Joe Biden, was 'endorsed by a broad bipartisan coalition and the New England Journal of Medicine."
247,Undefined,0,145,positive,A Harvard study proved that Apple purposely slows down its older model iPhones to coincide with device releases and to boost sales of new models.
248,Undefined,0,90,negative,Russia used 'GPS spoofing' to cause the USS John McCain to collide with a merchant vessel.
249,Undefined,0,84,neutral,A video shows two men looting a cash register during Tropical Storm Harvey in Texas.
250,Undefined,0,124,neutral,Members of an Ohio 'Oath Keepers' group tried to charge a woman and her son to walk through a shopping mall during an event.
251,Undefined,0,121,positive,Taking one or more rides on the Big Thunder Mountain roller coaster at Walt Disney World can help dislodge kidney stones.
252,Undefined,0,164,negative,A column written by Clinton adviser-turned-opponent Dick Morris pointed out details elided in a 2007 Hillary Clinton campaign ad narrated by President Bill Clinton.
253,Undefined,0,115,neutral,Residents of various U.S. states have received unsolicited mailings of seeds sent from China with malicious intent.
254,Undefined,0,332,positive,"Donald Trump's nominee for Secretary of Education, billionaire Betsy DeVos, has no education degree or teaching experience, has never attended a public school or sent her children to one, and supports the funding of for-profit Christian schools over public ones; she got the job because she donated $9.5 million to Trump's campaign."
255,Undefined,0,166,positive,"The Massive Ordnance Air Blast, first used by the United States military in April 2017, is capable of releasing toxic radiation into the atmosphere on a global scale."
256,Undefined,0,87,negative,Actor Adam West was once kicked out of an orgy because he wouldn't stop playing Batman.
257,Undefined,0,101,negative,"If implemented, the provisions of Texas Senate Bill 17 would 'allow doctors to refuse LGBTQ patients."
258,Undefined,0,104,negative,Thieves select homes to break into after Christmas by taking note of boxes curbed as trash or recycling.
259,Undefined,0,60,negative,U.S. cities are using 'sunblock' on pavement to combat heat.
260,Undefined,0,71,negative,More people die annually from falling coconuts than from shark attacks.
261,Undefined,0,125,negative,@SixthFormPoet's viral Twitter story about meeting his wife at the graveside of a triple-murderer was substantively accurate.
262,Undefined,0,112,negative,"Photograph shows Barack Obama carrying the book The Post-American World, 'a Muslim's view of a defeated America."
263,Undefined,0,150,negative,"A Spirit Airlines employee was rude to a soldier, charged him for a carry-on bag, and told his father that the airline 'doesn't cater to the military."
264,Undefined,0,111,negative,"Will Smith and Jada Pinkett Smith donated $150,000 to a 'black Muslim' who called for the murder of all whites."
265,Undefined,0,116,positive,Planned Parenthood enforces 'abortion quotas' and rewards well-performing employees for promoting abortion services.
266,Undefined,0,148,neutral,"In November 2012, Donald Trump proclaimed on Twitter that 'If the Dow drops 1,000 points in two days the President should be impeached immediately!'"
267,Undefined,0,131,neutral,A text outlines a process by which the U.S. Vice President and Republicans in Congress can subvert the counting of electoral votes.
268,Undefined,0,101,neutral,Mail-in ballots require additional stamps and will not be counted if affixed postage is insufficient.
